"Notes"	"ICD Chapter"	"ICD Chapter Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"			172	83256835	0.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Protozoal diseases"	"B50-B64"	"Unspecified malaria"	"B54"	3	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Protozoal diseases"	"B50-B64"	"Chagas disease (chronic) with heart involvement"	"B57.2"	4	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Protozoal diseases"	"B50-B64"	"Toxoplasma meningoencephalitis"	"B58.2"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Protozoal diseases"	"B50-B64"	"Toxoplasmosis with other organ involvement"	"B58.8"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Protozoal diseases"	"B50-B64"	"Toxoplasmosis, unspecified"	"B58.9"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Protozoal diseases"	"B50-B64"	"Pneumocystosis"	"B59"	30	83256835	0.0
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Protozoal diseases"	"B50-B64"			40	83256835	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Helminthiases"	"B65-B83"	"Schistosomiasis, unspecified"	"B65.9"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Helminthiases"	"B65-B83"	"Strongyloidiasis, unspecified"	"B78.9"	1	83256835	Unreliable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Helminthiases"	"B65-B83"			2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Sequelae of infectious and parasitic diseases"	"B90-B94"	"Sequelae of respiratory and unspecified tuberculosis"	"B90.9"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Sequelae of infectious and parasitic diseases"	"B90-B94"	"Sequelae of viral encephalitis"	"B94.1"	5	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Sequelae of infectious and parasitic diseases"	"B90-B94"	"Sequelae of viral hepatitis"	"B94.2"	10	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Sequelae of infectious and parasitic diseases"	"B90-B94"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	58	83256835	0.1
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Sequelae of infectious and parasitic diseases"	"B90-B94"			75	83256835	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other infectious diseases"	"B99-B99"	"Other and unspecified infectious diseases"	"B99"	33	83256835	0.0
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other infectious diseases"	"B99-B99"			33	83256835	0.0
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"					8777	83256835	10.5
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"External lower lip - Malignant neoplasms"	"C00.1"	2	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Lip, unspecified - Malignant neoplasms"	"C00.9"	5	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Malignant neoplasm of base of tongue"	"C01"	24	83256835	0.0
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	317	83256835	0.4
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Upper gum - Malignant neoplasms"	"C03.0"	2	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Lower gum - Malignant neoplasms"	"C03.1"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Gum, unspecified - Malignant neoplasms"	"C03.9"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Floor of mouth, unspecified - Malignant neoplasms"	"C04.9"	14	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Hard palate - Malignant neoplasms"	"C05.0"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Soft palate - Malignant neoplasms"	"C05.1"	2	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Uvula - Malignant neoplasms"	"C05.2"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Palate, unspecified - Malignant neoplasms"	"C05.9"	7	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Cheek mucosa - Malignant neoplasms"	"C06.0"	5	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Retromolar area - Malignant neoplasms"	"C06.2"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	95	83256835	0.1
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Malignant neoplasm of parotid gland"	"C07"	61	83256835	0.1
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Submandibular gland - Malignant neoplasms"	"C08.0"	8	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Major salivary gland, unspecified - Malignant neoplasms"	"C08.9"	28	83256835	0.0
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Tonsillar fossa - Malignant neoplasms"	"C09.0"	3	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Tonsillar pillar (anterior)(posterior) - Malignant neoplasms"	"C09.1"	3	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Tonsil, unspecified - Malignant neoplasms"	"C09.9"	150	83256835	0.2
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Vallecula - Malignant neoplasms"	"C10.0"	4	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Posterior wall of oropharynx - Malignant neoplasms"	"C10.3"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Overlapping lesion of oropharynx - Malignant neoplasms"	"C10.8"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	140	83256835	0.2
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Posterior wall of nasopharynx - Malignant neoplasms"	"C11.1"	5	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	144	83256835	0.2
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Malignant neoplasm of pyriform sinus"	"C12"	13	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Hypopharynx, unspecified - Malignant neoplasms"	"C13.9"	31	83256835	0.0
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	144	83256835	0.2
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Thoracic part of oesophagus - Malignant neoplasms"	"C15.1"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Lower third of oesophagus - Malignant neoplasms"	"C15.5"	14	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	1438	83256835	1.7
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Cardia - Malignant neoplasms"	"C16.0"	126	83256835	0.2
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Fundus of stomach - Malignant neoplasms"	"C16.1"	2	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Pyloric antrum - Malignant neoplasms"	"C16.3"	3	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Pylorus - Malignant neoplasms"	"C16.4"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Greater curvature of stomach, unspecified - Malignant neoplasms"	"C16.6"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	1397	83256835	1.7
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Duodenum - Malignant neoplasms"	"C17.0"	85	83256835	0.1
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Jejunum - Malignant neoplasms"	"C17.1"	13	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Ileum - Malignant neoplasms"	"C17.2"	8	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Small intestine, unspecified - Malignant neoplasms"	"C17.9"	63	83256835	0.1
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Caecum - Malignant neoplasms"	"C18.0"	43	83256835	0.1
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Appendix - Malignant neoplasms"	"C18.1"	197	83256835	0.2
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Ascending colon - Malignant neoplasms"	"C18.2"	21	83256835	0.0
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Hepatic flexure - Malignant neoplasms"	"C18.3"	3	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Transverse colon - Malignant neoplasms"	"C18.4"	10	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Splenic flexure - Malignant neoplasms"	"C18.5"	2	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Descending colon - Malignant neoplasms"	"C18.6"	11	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Sigmoid colon - Malignant neoplasms"	"C18.7"	69	83256835	0.1
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Overlapping lesion of colon - Malignant neoplasms"	"C18.8"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	4248	83256835	5.1
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Malignant neoplasm of rectosigmoid junction"	"C19"	478	83256835	0.6
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Malignant neoplasm of rectum"	"C20"	1071	83256835	1.3
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Anus, unspecified - Malignant neoplasms"	"C21.0"	170	83256835	0.2
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Anal canal - Malignant neoplasms"	"C21.1"	16	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Overlapping lesion of rectum, anus and anal canal - Malignant neoplasms"	"C21.8"	15	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	909	83256835	1.1
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	682	83256835	0.8
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Angiosarcoma of liver - Malignant neoplasms"	"C22.3"	7	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	632	83256835	0.8
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Malignant neoplasm of gallbladder"	"C23"	166	83256835	0.2
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Extrahepatic bile duct - Malignant neoplasms"	"C24.0"	51	83256835	0.1
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Ampulla of Vater - Malignant neoplasms"	"C24.1"	15	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Biliary tract, unspecified - Malignant neoplasms"	"C24.9"	52	83256835	0.1
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Head of pancreas - Malignant neoplasms"	"C25.0"	13	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Body of pancreas - Malignant neoplasms"	"C25.1"	4	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Tail of pancreas - Malignant neoplasms"	"C25.2"	7	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Pancreatic duct - Malignant neoplasms"	"C25.3"	11	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Endocrine pancreas - Malignant neoplasms"	"C25.4"	6	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Other parts of pancreas - Malignant neoplasms"	"C25.7"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Overlapping lesion of pancreas - Malignant neoplasms"	"C25.8"	2	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	3104	83256835	3.7
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Intestinal tract, part unspecified - Malignant neoplasms"	"C26.0"	23	83256835	0.0
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Spleen - Malignant neoplasms"	"C26.1"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Overlapping lesion of digestive system - Malignant neoplasms"	"C26.8"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	125	83256835	0.2
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Nasal cavity - Malignant neoplasms"	"C30.0"	17	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Maxillary sinus - Malignant neoplasms"	"C31.0"	20	83256835	0.0
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Ethmoidal sinus - Malignant neoplasms"	"C31.1"	3	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Sphenoidal sinus - Malignant neoplasms"	"C31.3"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Accessory sinus, unspecified - Malignant neoplasms"	"C31.9"	38	83256835	0.0
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Glottis - Malignant neoplasms"	"C32.0"	12	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Supraglottis - Malignant neoplasms"	"C32.1"	28	83256835	0.0
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Subglottis - Malignant neoplasms"	"C32.2"	3	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Laryngeal cartilage - Malignant neoplasms"	"C32.3"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	268	83256835	0.3
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Malignant neoplasm of trachea"	"C33"	9	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Main bronchus - Malignant neoplasms"	"C34.0"	10	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Upper lobe, bronchus or lung - Malignant neoplasms"	"C34.1"	56	83256835	0.1
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Middle lobe, bronchus or lung - Malignant neoplasms"	"C34.2"	5	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Lower lobe, bronchus or lung - Malignant neoplasms"	"C34.3"	21	83256835	0.0
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Overlapping lesion of bronchus and lung - Malignant neoplasms"	"C34.8"	2	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	8719	83256835	10.5
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Malignant neoplasm of thymus"	"C37"	52	83256835	0.1
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Heart - Malignant neoplasms"	"C38.0"	14	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Mediastinum, part unspecified - Malignant neoplasms"	"C38.3"	17	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Pleura - Malignant neoplasms"	"C38.4"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Ill-defined sites within the respiratory system - Malignant neoplasms"	"C39.9"	6	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Scapula and long bones of upper limb - Malignant neoplasms"	"C40.0"	3	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Long bones of lower limb - Malignant neoplasms"	"C40.2"	6	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Bone and articular cartilage of limb, unspecified - Malignant neoplasms"	"C40.9"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Bones of skull and face - Malignant neoplasms"	"C41.0"	9	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Mandible - Malignant neoplasms"	"C41.1"	7	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Vertebral column - Malignant neoplasms"	"C41.2"	10	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Ribs, sternum and clavicle - Malignant neoplasms"	"C41.3"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Pelvic bones, sacrum and coccyx - Malignant neoplasms"	"C41.4"	11	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	169	83256835	0.2
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Malignant melanoma of other and unspecified parts of face - Malignant neoplasms"	"C43.3"	5	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Malignant melanoma of scalp and neck - Malignant neoplasms"	"C43.4"	9	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Malignant melanoma of trunk - Malignant neoplasms"	"C43.5"	33	83256835	0.0
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Malignant melanoma of upper limb, including shoulder - Malignant neoplasms"	"C43.6"	12	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Malignant melanoma of lower limb, including hip - Malignant neoplasms"	"C43.7"	12	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	1020	83256835	1.2
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Skin of eyelid, including canthus - Malignant neoplasms"	"C44.1"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Skin of ear and external auricular canal - Malignant neoplasms"	"C44.2"	1	83256835	Unreliable
